시점,해외유입,국내발생,신규
2020. 06. 08,5,33,38
2020. 06. 09,3,35,38
2020. 06. 10,7,43,50
2020. 06. 11,5,40,45
2020. 06. 12,13,43,56
2020. 06. 13,5,44,49
2020. 06. 14,3,31,34
2020. 06. 15,13,24,37
2020. 06. 16,13,21,34
2020. 06. 17,12,31,43
2020. 06. 18,8,51,59
2020. 06. 19,17,32,49
2020. 06. 20,31,36,67
2020. 06. 21,8,40,48
2020. 06. 22,6,11,17
2020. 06. 23,30,16,46
2020. 06. 24,20,31,51
2020. 06. 25,5,23,28
2020. 06. 26,12,27,39
2020. 06. 27,20,31,51
2020. 06. 28,22,40,62
2020. 06. 29,12,30,42
2020. 06. 30,20,23,43
2020. 07. 01,15,36,51
2020. 07. 02,10,44,54
2020. 07. 03,11,8,61
2020. 07. 04,27,36,63
2020. 07. 05,18,43,61
2020. 07. 06,24,24,48
2020. 07. 07,24,20,44
2020. 07. 08,32,30,62
2020. 07. 09,22,28,50
2020. 07. 10,23,22,45
2020. 07. 11,15,20,35
2020. 07. 12,23,21,44
2020. 07. 13,43,19,62
2020. 07. 14,19,14,33
2020. 07. 15,28,11,39
2020. 07. 16,47,14,61
2020. 07. 17,39,21,60
2020. 07. 18,28,11,39
2020. 07. 19,13,21,34
2020. 07. 20,22,4,26
2020. 07. 21,25,20,45
2020. 07. 22,34,29,63
2020. 07. 23,20,39,59
2020. 07. 24,13,28,41
2020. 07. 25,86,27,113
2020. 07. 26,46,12,58
2020. 07. 27,16,9,25
2020. 07. 28,23,5,28
2020. 07. 29,34,14,48
2020. 07. 30,11,7,18
2020. 07. 31,22,14,36
2020. 08. 01,23,8,31
2020. 08. 02,22,8,30
2020. 08. 03,20,3,23
2020. 08. 04,21,13,34
2020. 08. 05,18,15,33
2020. 08. 06,20,23,43
2020. 08. 07,11,9,20
2020. 08. 08,13,30,43
2020. 08. 09,6,30,36
2020. 08. 10,11,17,28
2020. 08. 11,11,23,34
2020. 08. 12,19,35,54
2020. 08. 13,9,47,56
2020. 08. 14,18,85,103
2020. 08. 15,11,155,166
2020. 08. 16,12,267,279
2020. 08. 17,9,188,197
2020. 08. 18,11,235,246
2020. 08. 19,14,283,297
2020. 08. 20,12,276,288
2020. 08. 21,9,315,324
2020. 08. 22,17,315,332
2020. 08. 23,10,387,397
2020. 08. 24,8,258,266
2020. 08. 25,16,264,280
2020. 08. 26,13,307,320
2020. 08. 27,7,434,441
2020. 08. 28,12,359,371
2020. 08. 29,15,308,323
2020. 08. 30,16,283,299
2020. 08. 31,10,238,248
2020. 09. 01,13,222,235
2020. 09. 02,14,253,267
2020. 09. 03,7,188,195
2020. 09. 04,9,189,198
2020. 09. 05,10,158,168
2020. 09. 06,15,152,167
2020. 09. 07,11,108,119
2020. 09. 08,16,120,136
2020. 09. 09,12,144,156
2020. 09. 10,14,141,155
2020. 09. 11,15,161,176
2020. 09. 12,18,118,136
2020. 09. 13,22,99,121
2020. 09. 14,11,98,109
2020. 09. 15,15,91,106
2020. 09. 16,8,105,113
2020. 09. 17,8,145,153
2020. 09. 18,17,109,126
2020. 09. 19,4,106,110
2020. 09. 20,10,72,82
2020. 09. 21,15,55,70
2020. 09. 22,10,51,61
2020. 09. 23,11,99,110
2020. 09. 24,16,109,125
2020. 09. 25,19,95,114
2020. 09. 26,12,49,61
2020. 09. 27,22,73,95
2020. 09. 28,10,40,50
2020. 09. 29,15,23,38
2020. 09. 30,20,93,113
2020. 10. 01,10,67,77
2020. 10. 02,10,53,63
2020. 10. 03,23,52,75
2020. 10. 04,17,47,64
2020. 10. 05,9,64,73
2020. 10. 06,9,66,75
2020. 10. 07,20,94,114
2020. 10. 08,9,60,69
2020. 10. 09,16,38,54
2020. 10. 10,11,61,72
2020. 10. 11,12,46,58
2020. 10. 12,29,69,98
2020. 10. 13,33,69,102
2020. 10. 14,31,53,84
2020. 10. 15,15,95,110
2020. 10. 16,6,41,47
2020. 10. 17,11,62,73
2020. 10. 18,20,71,91
2020. 10. 19,26,50,76
2020. 10. 20,17,41,58
2020. 10. 21,34,57,91
2020. 10. 22,17,104,121
2020. 10. 23,17,138,155
2020. 10. 24,11,66,77
2020. 10. 25,11,50,61
2020. 10. 26,25,94,119
2020. 10. 27,16,72,88
2020. 10. 28,7,96,103
2020. 10. 29,19,106,125
2020. 10. 30,21,93,114
2020. 10. 31,31,96,127
2020. 11. 01,23,101,124
2020. 11. 02,18,79,97
2020. 11. 03,29,46,75
2020. 11. 04,20,98,118
2020. 11. 05,17,108,125
2020. 11. 06,28,117,145
2020. 11. 07,17,72,89
2020. 11. 08,25,118,143
2020. 11. 09,27,99,126
2020. 11. 10,29,71,100
2020. 11. 11,33,113,146
2020. 11. 12,15,128,143
2020. 11. 13,29,162,191
2020. 11. 14,39,166,205
2020. 11. 15,32,176,208
2020. 11. 16,30,193,223
2020. 11. 17,28,202,230
2020. 11. 18,68,245,313
2020. 11. 19,50,293,343
2020. 11. 20,43,320,363
2020. 11. 21,25,361,386
2020. 11. 22,28,302,330
2020. 11. 23,16,255,271
2020. 11. 24,29,320,349
2020. 11. 25,19,363,382
2020. 11. 26,30,553,583
2020. 11. 27,44,525,569
2020. 11. 28,18,486,504
2020. 11. 29,37,413,450
2020. 11. 30,24,414,438
2020. 12. 01,31,420,451
2020. 12. 02,18,493,511
2020. 12. 03,24,516,540
2020. 12. 04,29,600,629
2020. 12. 05,24,559,583
2020. 12. 06,32,599,631
2020. 12. 07,35,580,615
2020. 12. 08,27,562,589
2020. 12. 09,24,662,686
2020. 12. 10,36,646,682
2020. 12. 11,16,673,689
2020. 12. 12,22,928,950
2020. 12. 13,30,1000,1030
2020. 12. 14,36,682,718
2020. 12. 15,32,848,880
2020. 12. 16,24,1054,1078
2020. 12. 17,21,993,1014
2020. 12. 18,26,1036,1062
2020. 12. 19,24,1029,1053
2020. 12. 20,25,1072,1097
2020. 12. 21,34,892,926
2020. 12. 22,45,822,867
2020. 12. 23,32,1059,1090
2020. 12. 24,30,955,985
2020. 12. 25,25,1216,1241
2020. 12. 26,28,1104,1132
2020. 12. 27,24,946,970
2020. 12. 28,20,787,807
2020. 12. 29,16,1029,1045
2020. 12. 30,25,1025,1050
2020. 12. 31,27,940,967
2021. 01. 01,25,1004,1029
2021. 01. 02,36,788,824
2021. 01. 03,16,641,657
2021. 01. 04,35,985,1020
2021. 01. 05,43,672,715
2021. 01. 06,31,809,840
2021. 01. 07,37,833,870
2021. 01. 08,41,633,674
2021. 01. 09,45,596,641
2021. 01. 10,34,631,665
2021. 01. 11,32,419,451
2021. 01. 12,29,508,537
2021. 01. 13,26,536,562
2021. 01. 14,28,496,524
2021. 01. 15,29,484,513
2021. 01. 16,33,547,580
2021. 01. 17,20,500,520
2021. 01. 18,23,366,389
2021. 01. 19,35,351,386
2021. 01. 20,31,373,404
2021. 01. 21,21,380,401
2021. 01. 22,32,314,346
2021. 01. 23,28,403,431
2021. 01. 24,23,369,392
2021. 01. 25,32,405,437
2021. 01. 26,16,338,354
2021. 01. 27,43,516,559
2021. 01. 28,18,479,497
2021. 01. 29,24,445,469
2021. 01. 30,35,423,458
2021. 01. 31,30,325,355
2021. 02. 01,20,285,305
2021. 02. 02,41,295,336
2021. 02. 03,34,433,467
2021. 02. 04,22,429,451
2021. 02. 05,19,351,370
2021. 02. 06,,,372
2021. 02. 07,,,289
2021. 02. 08,,,303
2021. 02. 09,,,444
2021. 02. 10,,,504
2021. 02. 11,,,403
2021. 02. 12,,,362
2021. 02. 13,,,326
2021. 02. 14,,,344
2021. 02. 15,,,457
2021. 02. 16,,,621
2021. 02. 17,,,621
2021. 02. 18,,,561
2021. 02. 19,,,446
2021. 02. 20,,,416
2021. 02. 21,,,332
2021. 02. 22,,,357
2021. 02. 23,,,440
2021. 02. 24,,,396
2021. 02. 25,24,382,406
2021. 02. 26,10,405,415
2021. 02. 27,22,334,356
2021. 02. 28,17,338,355
2021. 03. 01,25,319,344
2021. 03. 02,18,426,444
2021. 03. 03,23,401,424
2021. 03. 04,17,381,398
2021. 03. 05,14,404,418
2021. 03. 06,17,399,416
2021. 03. 07,11,335,346
2021. 03. 08,19,427,446
2021. 03. 09,18,452,470
2021. 03. 10,21,444,465
2021. 03. 11,231,467,488
2021. 03. 12,16,474,490
2021. 03. 13,23,436,459
2021. 03. 14,12,370,382
2021. 03. 15,18,345,363
2021. 03. 16,17,452,469
2021. 03. 17,18,427,445
2021. 03. 18,22,441,463
2021. 03. 19,12,440,452
2021. 03. 20,19,437,456
2021. 03. 21,19,396,415
2021. 03. 22,15,331,346
2021. 03. 23,17,411,428
2021. 03. 24,11,419,430
2021. 03. 25,23,471,494
2021. 03. 26,15,490,505
